st_case,veh_no,drimpair
160003,1,"Under the Influence of Alcohol, Drugs or Medication"
160004,1,None/Apparently Normal
160006,1,"Under the Influence of Alcohol, Drugs or Medication"
160006,2,None/Apparently Normal
160006,3,None/Apparently Normal
160006,4,None/Apparently Normal
160006,5,None/Apparently Normal
160006,6,None/Apparently Normal
160007,1,"Under the Influence of Alcohol, Drugs or Medication"
160007,2,None/Apparently Normal
160009,1,None/Apparently Normal
160009,2,None/Apparently Normal
160010,1,None/Apparently Normal
160011,1,"Under the Influence of Alcohol, Drugs or Medication"
160011,2,None/Apparently Normal
160012,1,None/Apparently Normal
160012,2,None/Apparently Normal
160013,1,Asleep or Fatigued
160013,1,"Under the Influence of Alcohol, Drugs or Medication"
160014,1,None/Apparently Normal
160015,1,None/Apparently Normal
160016,1,None/Apparently Normal
160018,1,None/Apparently Normal
160019,1,None/Apparently Normal
160020,1,"Under the Influence of Alcohol, Drugs or Medication"
160020,2,None/Apparently Normal
160021,1,None/Apparently Normal
160021,2,None/Apparently Normal
160022,1,None/Apparently Normal
160023,1,None/Apparently Normal
160023,2,None/Apparently Normal
160024,1,None/Apparently Normal
160024,2,None/Apparently Normal
160025,1,None/Apparently Normal
160025,2,None/Apparently Normal
160025,3,None/Apparently Normal
160025,4,None/Apparently Normal
160025,5,None/Apparently Normal
160025,6,None/Apparently Normal
160025,7,None/Apparently Normal
160025,8,None/Apparently Normal
160026,1,"Under the Influence of Alcohol, Drugs or Medication"
160027,1,None/Apparently Normal
160027,2,None/Apparently Normal
160027,3,None/Apparently Normal
160028,1,None/Apparently Normal
160028,2,None/Apparently Normal
160030,1,None/Apparently Normal
160030,2,None/Apparently Normal
160030,3,None/Apparently Normal
160030,4,None/Apparently Normal
160030,5,None/Apparently Normal
160031,1,None/Apparently Normal
160031,2,None/Apparently Normal
160032,1,"Under the Influence of Alcohol, Drugs or Medication"
160032,2,None/Apparently Normal
160033,1,"Under the Influence of Alcohol, Drugs or Medication"
160033,2,None/Apparently Normal
160034,1,None/Apparently Normal
160034,2,None/Apparently Normal
160035,1,"Under the Influence of Alcohol, Drugs or Medication"
160036,1,"Under the Influence of Alcohol, Drugs or Medication"
160036,2,None/Apparently Normal
160037,1,"Under the Influence of Alcohol, Drugs or Medication"
160037,2,None/Apparently Normal
160037,3,None/Apparently Normal
160038,1,"Under the Influence of Alcohol, Drugs or Medication"
160039,1,"Under the Influence of Alcohol, Drugs or Medication"
160039,2,None/Apparently Normal
160040,1,None/Apparently Normal
160041,1,"Under the Influence of Alcohol, Drugs or Medication"
160041,2,None/Apparently Normal
160042,1,"Under the Influence of Alcohol, Drugs or Medication"
160042,2,None/Apparently Normal
160043,1,None/Apparently Normal
160043,2,None/Apparently Normal
160044,1,"Under the Influence of Alcohol, Drugs or Medication"
160045,1,None/Apparently Normal
160046,1,"Under the Influence of Alcohol, Drugs or Medication"
160047,1,None/Apparently Normal
160047,2,None/Apparently Normal
160048,1,None/Apparently Normal
160048,2,"Under the Influence of Alcohol, Drugs or Medication"
160049,1,None/Apparently Normal
160050,1,None/Apparently Normal
160051,1,Asleep or Fatigued
160051,1,"Under the Influence of Alcohol, Drugs or Medication"
160052,1,None/Apparently Normal
160052,2,None/Apparently Normal
160053,1,"Under the Influence of Alcohol, Drugs or Medication"
160054,1,"Under the Influence of Alcohol, Drugs or Medication"
160055,1,"Under the Influence of Alcohol, Drugs or Medication"
160055,2,"Under the Influence of Alcohol, Drugs or Medication"
160056,1,None/Apparently Normal
160057,1,"Under the Influence of Alcohol, Drugs or Medication"
160057,2,None/Apparently Normal
160058,1,"Under the Influence of Alcohol, Drugs or Medication"
160059,1,"Under the Influence of Alcohol, Drugs or Medication"
160059,2,None/Apparently Normal
160060,1,None/Apparently Normal
160060,2,None/Apparently Normal
160061,1,None/Apparently Normal
160062,1,"Under the Influence of Alcohol, Drugs or Medication"
160063,1,"Under the Influence of Alcohol, Drugs or Medication"
160064,1,"Under the Influence of Alcohol, Drugs or Medication"
160065,1,None/Apparently Normal
160066,1,None/Apparently Normal
160067,1,None/Apparently Normal
160067,2,None/Apparently Normal
160068,1,None/Apparently Normal
160069,1,None/Apparently Normal
160069,2,None/Apparently Normal
160070,1,None/Apparently Normal
160070,2,None/Apparently Normal
160071,1,"Under the Influence of Alcohol, Drugs or Medication"
160071,2,"Under the Influence of Alcohol, Drugs or Medication"
160071,3,"Under the Influence of Alcohol, Drugs or Medication"
160071,4,None/Apparently Normal
160072,1,None/Apparently Normal
160072,2,None/Apparently Normal
160073,1,None/Apparently Normal
160074,1,"Under the Influence of Alcohol, Drugs or Medication"
160074,2,None/Apparently Normal
160075,1,None/Apparently Normal
160076,1,"Under the Influence of Alcohol, Drugs or Medication"
160077,1,"Under the Influence of Alcohol, Drugs or Medication"
160078,1,"Under the Influence of Alcohol, Drugs or Medication"
160079,1,"Under the Influence of Alcohol, Drugs or Medication"
160079,2,None/Apparently Normal
160080,1,Asleep or Fatigued
160081,1,None/Apparently Normal
160082,1,"Under the Influence of Alcohol, Drugs or Medication"
160082,2,None/Apparently Normal
160083,1,"Under the Influence of Alcohol, Drugs or Medication"
160083,2,None/Apparently Normal
160083,3,None/Apparently Normal
160084,1,"Under the Influence of Alcohol, Drugs or Medication"
160085,1,None/Apparently Normal
160086,1,"Under the Influence of Alcohol, Drugs or Medication"
160087,1,None/Apparently Normal
160088,1,None/Apparently Normal
160088,2,None/Apparently Normal
160089,1,None/Apparently Normal
160089,2,None/Apparently Normal
160090,1,None/Apparently Normal
160090,2,None/Apparently Normal
160092,1,None/Apparently Normal
160093,1,"Under the Influence of Alcohol, Drugs or Medication"
160094,1,"Under the Influence of Alcohol, Drugs or Medication"
160095,1,None/Apparently Normal
160095,2,None/Apparently Normal
160096,1,"Under the Influence of Alcohol, Drugs or Medication"
160096,2,None/Apparently Normal
160096,3,None/Apparently Normal
160097,1,None/Apparently Normal
160098,1,"Under the Influence of Alcohol, Drugs or Medication"
160099,1,"Under the Influence of Alcohol, Drugs or Medication"
160100,1,None/Apparently Normal
160101,1,Asleep or Fatigued
160101,1,"Under the Influence of Alcohol, Drugs or Medication"
160102,1,None/Apparently Normal
160102,2,None/Apparently Normal
160103,1,"Under the Influence of Alcohol, Drugs or Medication"
160103,2,None/Apparently Normal
160104,1,None/Apparently Normal
160105,1,None/Apparently Normal
160106,1,None/Apparently Normal
160107,1,None/Apparently Normal
160107,2,None/Apparently Normal
160108,1,None/Apparently Normal
160108,2,None/Apparently Normal
160109,1,Asleep or Fatigued
160109,1,"Under the Influence of Alcohol, Drugs or Medication"
160109,2,"Under the Influence of Alcohol, Drugs or Medication"
160110,1,None/Apparently Normal
160111,1,None/Apparently Normal
160112,1,None/Apparently Normal
160113,1,None/Apparently Normal
160114,1,None/Apparently Normal
160115,1,"Under the Influence of Alcohol, Drugs or Medication"
160116,1,None/Apparently Normal
160117,1,"Under the Influence of Alcohol, Drugs or Medication"
160118,1,"Under the Influence of Alcohol, Drugs or Medication"
160119,1,None/Apparently Normal
160120,1,None/Apparently Normal
160121,1,"Under the Influence of Alcohol, Drugs or Medication"
160121,2,None/Apparently Normal
160122,1,None/Apparently Normal
160123,1,None/Apparently Normal
160123,2,None/Apparently Normal
160124,1,"Under the Influence of Alcohol, Drugs or Medication"
160125,1,None/Apparently Normal
160126,1,"Under the Influence of Alcohol, Drugs or Medication"
160126,2,None/Apparently Normal
160127,1,None/Apparently Normal
160127,2,None/Apparently Normal
160128,1,"Under the Influence of Alcohol, Drugs or Medication"
160128,2,None/Apparently Normal
160129,1,None/Apparently Normal
160129,2,None/Apparently Normal
160130,1,None/Apparently Normal
160131,1,None/Apparently Normal
160131,2,None/Apparently Normal
160133,1,"Under the Influence of Alcohol, Drugs or Medication"
160134,1,"Under the Influence of Alcohol, Drugs or Medication"
160135,1,None/Apparently Normal
160135,2,"Under the Influence of Alcohol, Drugs or Medication"
160136,1,"Under the Influence of Alcohol, Drugs or Medication"
160137,1,"Under the Influence of Alcohol, Drugs or Medication"
160138,1,"Under the Influence of Alcohol, Drugs or Medication"
160138,2,"Under the Influence of Alcohol, Drugs or Medication"
160139,1,"Under the Influence of Alcohol, Drugs or Medication"
160139,2,None/Apparently Normal
160140,1,None/Apparently Normal
160141,1,"Under the Influence of Alcohol, Drugs or Medication"
160141,2,None/Apparently Normal
160142,1,"Under the Influence of Alcohol, Drugs or Medication"
160142,1,Physical Impairment - No Details
160142,2,None/Apparently Normal
160143,1,"Under the Influence of Alcohol, Drugs or Medication"
160144,1,None/Apparently Normal
160145,1,None/Apparently Normal
160145,2,None/Apparently Normal
160146,1,"Under the Influence of Alcohol, Drugs or Medication"
160147,1,None/Apparently Normal
160147,2,No Driver Present/Unknown if Driver Present
160147,3,None/Apparently Normal
160147,4,None/Apparently Normal
160148,1,None/Apparently Normal
160148,2,None/Apparently Normal
160149,1,"Under the Influence of Alcohol, Drugs or Medication"
160149,2,None/Apparently Normal
160149,3,"Under the Influence of Alcohol, Drugs or Medication"
160150,1,"Under the Influence of Alcohol, Drugs or Medication"
160150,2,None/Apparently Normal
160151,1,None/Apparently Normal
160151,2,None/Apparently Normal
160152,1,None/Apparently Normal
160152,2,None/Apparently Normal
160153,1,"Under the Influence of Alcohol, Drugs or Medication"
160153,2,None/Apparently Normal
160154,1,None/Apparently Normal
160154,2,None/Apparently Normal
160156,1,None/Apparently Normal
160156,2,None/Apparently Normal
160157,1,Asleep or Fatigued
160157,1,"Under the Influence of Alcohol, Drugs or Medication"
160157,2,None/Apparently Normal
160158,1,"Under the Influence of Alcohol, Drugs or Medication"
160159,1,None/Apparently Normal
160159,2,None/Apparently Normal
160160,1,None/Apparently Normal
160161,1,"Under the Influence of Alcohol, Drugs or Medication"
160162,1,Asleep or Fatigued
160163,1,"Under the Influence of Alcohol, Drugs or Medication"
160164,1,"Under the Influence of Alcohol, Drugs or Medication"
160165,1,"Under the Influence of Alcohol, Drugs or Medication"
160166,1,"Under the Influence of Alcohol, Drugs or Medication"
160167,1,"Under the Influence of Alcohol, Drugs or Medication"
160168,1,None/Apparently Normal
160168,2,None/Apparently Normal
160169,1,None/Apparently Normal
160169,2,None/Apparently Normal
160170,1,"Ill, Blackout"
160172,1,None/Apparently Normal
160172,2,None/Apparently Normal
160172,3,None/Apparently Normal
160173,1,Physical Impairment - No Details
160173,2,None/Apparently Normal
160174,1,None/Apparently Normal
160174,2,None/Apparently Normal
160175,1,"Under the Influence of Alcohol, Drugs or Medication"
160176,1,None/Apparently Normal
160177,1,None/Apparently Normal
160178,1,"Under the Influence of Alcohol, Drugs or Medication"
160179,1,None/Apparently Normal
160180,1,"Under the Influence of Alcohol, Drugs or Medication"
160180,2,None/Apparently Normal
160181,1,"Emotional (depressed, angry, disturbed, etc.)"
160181,1,"Under the Influence of Alcohol, Drugs or Medication"
160182,1,None/Apparently Normal
160182,2,"Under the Influence of Alcohol, Drugs or Medication"
160183,1,None/Apparently Normal
160183,2,None/Apparently Normal
160184,1,None/Apparently Normal
160185,1,None/Apparently Normal
160186,1,"Ill, Blackout"
160187,1,Asleep or Fatigued
160188,1,"Under the Influence of Alcohol, Drugs or Medication"
160189,1,None/Apparently Normal
160189,2,None/Apparently Normal
160190,1,None/Apparently Normal
160190,2,"Under the Influence of Alcohol, Drugs or Medication"
160191,1,"Under the Influence of Alcohol, Drugs or Medication"
160192,1,None/Apparently Normal
160193,1,"Under the Influence of Alcohol, Drugs or Medication"
160194,1,None/Apparently Normal
160195,1,None/Apparently Normal
160196,1,None/Apparently Normal
160196,2,None/Apparently Normal
160196,3,None/Apparently Normal
160197,1,"Under the Influence of Alcohol, Drugs or Medication"
160198,1,None/Apparently Normal
160198,2,None/Apparently Normal
160199,1,None/Apparently Normal
160199,2,None/Apparently Normal
160200,1,None/Apparently Normal
160201,1,None/Apparently Normal
160201,2,No Driver Present/Unknown if Driver Present
160201,3,None/Apparently Normal
160202,1,None/Apparently Normal
170001,1,Reported as Unknown if Impaired
170002,1,Reported as Unknown if Impaired
170003,1,Other Physical Impairment
170004,1,Reported as Unknown if Impaired
170004,2,Reported as Unknown if Impaired
170005,1,Reported as Unknown if Impaired
170006,1,Other Physical Impairment
170007,1,Reported as Unknown if Impaired
170007,2,None/Apparently Normal
170008,1,Reported as Unknown if Impaired
170008,2,None/Apparently Normal
170009,1,Reported as Unknown if Impaired
170010,1,"Under the Influence of Alcohol, Drugs or Medication"
170011,1,Reported as Unknown if Impaired
170012,1,Reported as Unknown if Impaired
170012,2,None/Apparently Normal
170012,3,None/Apparently Normal
170013,1,Reported as Unknown if Impaired
170013,2,None/Apparently Normal
170014,1,Reported as Unknown if Impaired
170015,1,Reported as Unknown if Impaired
170016,1,Reported as Unknown if Impaired
170017,1,None/Apparently Normal
170017,2,None/Apparently Normal
170018,1,Reported as Unknown if Impaired
170018,2,Reported as Unknown if Impaired
170019,1,None/Apparently Normal
170020,1,None/Apparently Normal
170021,1,Reported as Unknown if Impaired
170021,2,None/Apparently Normal
170022,1,Reported as Unknown if Impaired
170023,1,Other Physical Impairment
170024,1,Reported as Unknown if Impaired
170025,1,Other Physical Impairment
170025,2,None/Apparently Normal
170025,3,Other Physical Impairment
170026,1,"Under the Influence of Alcohol, Drugs or Medication"
170026,2,Other Physical Impairment
170027,1,None/Apparently Normal
170027,2,None/Apparently Normal
170028,1,Reported as Unknown if Impaired
170028,2,Reported as Unknown if Impaired
170029,1,None/Apparently Normal
170029,2,Reported as Unknown if Impaired
170031,1,Reported as Unknown if Impaired
170032,1,Reported as Unknown if Impaired
170032,2,None/Apparently Normal
170033,1,Reported as Unknown if Impaired
170033,2,None/Apparently Normal
170035,1,None/Apparently Normal
170035,2,None/Apparently Normal
170036,1,Reported as Unknown if Impaired
170037,1,Reported as Unknown if Impaired
170037,2,Reported as Unknown if Impaired
170038,1,Other Physical Impairment
170038,2,None/Apparently Normal
170039,1,Reported as Unknown if Impaired
170040,1,Other Physical Impairment
170040,2,None/Apparently Normal
170040,3,None/Apparently Normal
170041,1,None/Apparently Normal
170041,2,None/Apparently Normal
170042,1,None/Apparently Normal
170043,1,Reported as Unknown if Impaired
170044,1,"Under the Influence of Alcohol, Drugs or Medication"
170045,1,Reported as Unknown if Impaired
170045,2,None/Apparently Normal
170046,1,Reported as Unknown if Impaired
170046,2,None/Apparently Normal
170046,3,None/Apparently Normal
170047,1,None/Apparently Normal
170047,2,Reported as Unknown if Impaired
170047,3,None/Apparently Normal
170048,1,"Ill, Blackout"
170049,1,Reported as Unknown if Impaired
170050,1,None/Apparently Normal
200078,1,Not Reported
170051,1,Reported as Unknown if Impaired
170052,1,Reported as Unknown if Impaired
170053,1,Reported as Unknown if Impaired
170055,1,Asleep or Fatigued
170055,2,Reported as Unknown if Impaired
170057,1,None/Apparently Normal
170058,1,Reported as Unknown if Impaired
170059,1,"Under the Influence of Alcohol, Drugs or Medication"
170059,2,None/Apparently Normal
170060,1,None/Apparently Normal
170060,2,None/Apparently Normal
170062,1,None/Apparently Normal
170062,2,Reported as Unknown if Impaired
170063,1,Reported as Unknown if Impaired
170063,2,None/Apparently Normal
170064,1,Reported as Unknown if Impaired
170065,1,Reported as Unknown if Impaired
170066,1,Other Physical Impairment
170066,2,"Emotional (depressed, angry, disturbed, etc.)"
170067,1,Reported as Unknown if Impaired
170068,1,"Ill, Blackout"
170068,2,None/Apparently Normal
170069,1,Reported as Unknown if Impaired
170070,1,Other Physical Impairment
170070,2,None/Apparently Normal
170071,1,Reported as Unknown if Impaired
170071,2,None/Apparently Normal
170072,1,"Under the Influence of Alcohol, Drugs or Medication"
170073,1,Reported as Unknown if Impaired
170073,2,None/Apparently Normal
170074,1,"Under the Influence of Alcohol, Drugs or Medication"
170076,1,None/Apparently Normal
170076,2,Reported as Unknown if Impaired
170077,1,Not Reported
170078,1,Reported as Unknown if Impaired
170078,2,None/Apparently Normal
170079,1,Not Reported
170080,1,Other Physical Impairment
170080,2,Other Physical Impairment
170081,1,None/Apparently Normal
170081,2,None/Apparently Normal
170081,3,None/Apparently Normal
170082,1,Reported as Unknown if Impaired
170082,2,None/Apparently Normal
170083,1,Reported as Unknown if Impaired
170083,2,None/Apparently Normal
170084,1,Reported as Unknown if Impaired
170085,1,Reported as Unknown if Impaired
170086,1,Reported as Unknown if Impaired
170086,2,None/Apparently Normal
170087,1,Reported as Unknown if Impaired
170088,1,"Emotional (depressed, angry, disturbed, etc.)"
170088,1,"Under the Influence of Alcohol, Drugs or Medication"
170089,1,Reported as Unknown if Impaired
170091,1,Other Physical Impairment
170091,2,None/Apparently Normal
170092,1,None/Apparently Normal
170093,1,Asleep or Fatigued
170093,2,"Under the Influence of Alcohol, Drugs or Medication"
170094,1,Reported as Unknown if Impaired
170095,1,Reported as Unknown if Impaired
170095,2,None/Apparently Normal
170096,1,None/Apparently Normal
170097,1,None/Apparently Normal
170097,2,None/Apparently Normal
170098,1,Not Reported
170098,2,Reported as Unknown if Impaired
170099,1,Reported as Unknown if Impaired
170100,1,Reported as Unknown if Impaired
170101,1,None/Apparently Normal
170103,1,Reported as Unknown if Impaired
170103,2,Reported as Unknown if Impaired
170103,3,None/Apparently Normal
170103,4,None/Apparently Normal
170105,1,Reported as Unknown if Impaired
170106,1,Reported as Unknown if Impaired
170107,1,Reported as Unknown if Impaired
170108,1,None/Apparently Normal
170108,2,None/Apparently Normal
170109,1,None/Apparently Normal
170109,2,None/Apparently Normal
170110,1,Reported as Unknown if Impaired
170112,1,Other Physical Impairment
170112,2,None/Apparently Normal
170113,1,None/Apparently Normal
170113,2,None/Apparently Normal
170113,3,None/Apparently Normal
170113,4,None/Apparently Normal
170114,1,None/Apparently Normal
170114,2,None/Apparently Normal
170115,1,Reported as Unknown if Impaired
170116,1,None/Apparently Normal
170117,1,Reported as Unknown if Impaired
170118,1,Other Physical Impairment
170119,1,None/Apparently Normal
170119,2,None/Apparently Normal
170119,3,None/Apparently Normal
170120,1,Reported as Unknown if Impaired
170120,2,Reported as Unknown if Impaired
170121,1,None/Apparently Normal
170122,1,Reported as Unknown if Impaired
170123,1,Reported as Unknown if Impaired
170123,2,None/Apparently Normal
170123,3,None/Apparently Normal
170124,1,Reported as Unknown if Impaired
170124,2,None/Apparently Normal
170125,1,"Under the Influence of Alcohol, Drugs or Medication"
170126,1,Reported as Unknown if Impaired
170126,2,None/Apparently Normal
170127,1,Reported as Unknown if Impaired
170128,1,Reported as Unknown if Impaired
170128,2,Other Physical Impairment
170129,1,"Under the Influence of Alcohol, Drugs or Medication"
170131,1,Reported as Unknown if Impaired
170134,1,None/Apparently Normal
170135,1,"Under the Influence of Alcohol, Drugs or Medication"
170136,1,None/Apparently Normal
170137,1,"Under the Influence of Alcohol, Drugs or Medication"
170137,2,None/Apparently Normal
170138,1,None/Apparently Normal
170139,1,None/Apparently Normal
170140,1,Reported as Unknown if Impaired
170140,2,Other Physical Impairment
170141,1,None/Apparently Normal
170142,1,Other Physical Impairment
170143,1,"Under the Influence of Alcohol, Drugs or Medication"
170144,1,None/Apparently Normal
170144,2,None/Apparently Normal
170145,1,None/Apparently Normal
170146,1,None/Apparently Normal
170147,1,"Under the Influence of Alcohol, Drugs or Medication"
170148,1,Reported as Unknown if Impaired
170149,1,None/Apparently Normal
170150,1,None/Apparently Normal
170151,1,"Under the Influence of Alcohol, Drugs or Medication"
170152,1,Other Physical Impairment
170152,2,None/Apparently Normal
170152,3,Reported as Unknown if Impaired
170153,1,None/Apparently Normal
170154,1,Reported as Unknown if Impaired
170154,2,None/Apparently Normal
170154,3,None/Apparently Normal
170154,4,None/Apparently Normal
170156,1,"Under the Influence of Alcohol, Drugs or Medication"
170157,1,None/Apparently Normal
170158,1,None/Apparently Normal
170158,2,None/Apparently Normal
170159,1,Reported as Unknown if Impaired
170159,2,None/Apparently Normal
170161,1,None/Apparently Normal
170163,1,None/Apparently Normal
170163,2,Reported as Unknown if Impaired
170164,1,None/Apparently Normal
170164,2,Reported as Unknown if Impaired
170164,3,None/Apparently Normal
170164,4,None/Apparently Normal
170165,1,None/Apparently Normal
170165,2,Reported as Unknown if Impaired
170166,1,None/Apparently Normal
170167,1,Reported as Unknown if Impaired
170167,2,None/Apparently Normal
170167,3,Reported as Unknown if Impaired
170168,1,None/Apparently Normal
170169,1,"Under the Influence of Alcohol, Drugs or Medication"
170169,2,No Driver Present/Unknown if Driver Present
170170,1,None/Apparently Normal
170170,2,Other Physical Impairment
170171,1,Not Reported
170172,1,None/Apparently Normal
170173,1,Other Physical Impairment
170173,2,None/Apparently Normal
170174,1,Not Reported
170174,2,Not Reported
170174,3,None/Apparently Normal
170174,4,None/Apparently Normal
170174,5,None/Apparently Normal
170174,6,None/Apparently Normal
170175,1,None/Apparently Normal
170176,1,Reported as Unknown if Impaired
170177,1,Reported as Unknown if Impaired
170177,2,None/Apparently Normal
170178,1,Reported as Unknown if Impaired
170179,1,Reported as Unknown if Impaired
170179,2,None/Apparently Normal
170180,1,Other Physical Impairment
170181,1,None/Apparently Normal
170182,1,Reported as Unknown if Impaired
170182,2,None/Apparently Normal
170183,1,None/Apparently Normal
170183,2,None/Apparently Normal
170184,1,"Under the Influence of Alcohol, Drugs or Medication"
170184,2,Reported as Unknown if Impaired
170184,3,None/Apparently Normal
170185,1,"Under the Influence of Alcohol, Drugs or Medication"
170186,1,None/Apparently Normal
170187,1,Other Physical Impairment
170188,1,None/Apparently Normal
170189,1,"Under the Influence of Alcohol, Drugs or Medication"
170190,1,None/Apparently Normal
170191,1,Reported as Unknown if Impaired
170191,2,None/Apparently Normal
170192,1,Reported as Unknown if Impaired
170192,2,Reported as Unknown if Impaired
170193,1,Reported as Unknown if Impaired
170194,1,Reported as Unknown if Impaired
170195,1,Other Physical Impairment
170195,2,None/Apparently Normal
170196,1,"Emotional (depressed, angry, disturbed, etc.)"
170196,2,None/Apparently Normal
170197,1,Reported as Unknown if Impaired
170198,1,Reported as Unknown if Impaired
170198,2,Reported as Unknown if Impaired
170199,1,Reported as Unknown if Impaired
170199,2,None/Apparently Normal
170200,1,Reported as Unknown if Impaired
170201,1,Reported as Unknown if Impaired
170202,1,None/Apparently Normal
170202,2,Other Physical Impairment
170203,1,Other Physical Impairment
170204,1,None/Apparently Normal
170204,2,None/Apparently Normal
170205,1,None/Apparently Normal
170206,1,Reported as Unknown if Impaired
170207,1,None/Apparently Normal
170208,1,None/Apparently Normal
170209,1,Not Reported
170209,2,None/Apparently Normal
170210,1,Reported as Unknown if Impaired
170211,1,None/Apparently Normal
170212,1,Reported as Unknown if Impaired
170213,1,None/Apparently Normal
170214,1,"Under the Influence of Alcohol, Drugs or Medication"
170214,2,None/Apparently Normal
170215,1,Reported as Unknown if Impaired
170216,1,Reported as Unknown if Impaired
170217,1,None/Apparently Normal
170217,2,Reported as Unknown if Impaired
170218,1,Other Physical Impairment
170218,2,None/Apparently Normal
170219,1,"Under the Influence of Alcohol, Drugs or Medication"
170219,2,None/Apparently Normal
170220,1,Reported as Unknown if Impaired
170222,1,Reported as Unknown if Impaired
170223,1,None/Apparently Normal
170224,1,"Under the Influence of Alcohol, Drugs or Medication"
170225,1,Other Physical Impairment
170225,2,Other Physical Impairment
170226,1,None/Apparently Normal
170226,2,None/Apparently Normal
170227,1,None/Apparently Normal
170227,2,Reported as Unknown if Impaired
170228,1,Reported as Unknown if Impaired
170228,2,None/Apparently Normal
170228,3,None/Apparently Normal
170229,1,Reported as Unknown if Impaired
170230,1,None/Apparently Normal
170231,1,None/Apparently Normal
170232,1,Reported as Unknown if Impaired
170232,2,None/Apparently Normal
170232,3,None/Apparently Normal
170232,4,None/Apparently Normal
170232,5,None/Apparently Normal
170232,6,None/Apparently Normal
170233,1,Other Physical Impairment
170234,1,None/Apparently Normal
170234,2,None/Apparently Normal
170235,1,None/Apparently Normal
170236,1,Reported as Unknown if Impaired
170236,2,None/Apparently Normal
170237,1,"Emotional (depressed, angry, disturbed, etc.)"
170238,1,None/Apparently Normal
170238,2,None/Apparently Normal
170239,1,Reported as Unknown if Impaired
170239,2,None/Apparently Normal
170240,1,Reported as Unknown if Impaired
170241,1,Reported as Unknown if Impaired
170242,1,Reported as Unknown if Impaired
170243,1,None/Apparently Normal
170244,1,Other Physical Impairment
170244,2,None/Apparently Normal
170245,1,None/Apparently Normal
170245,2,None/Apparently Normal
170246,1,None/Apparently Normal
170246,2,Reported as Unknown if Impaired
170247,1,None/Apparently Normal
170248,1,"Emotional (depressed, angry, disturbed, etc.)"
170248,2,Reported as Unknown if Impaired
170249,1,"Emotional (depressed, angry, disturbed, etc.)"
170249,1,"Under the Influence of Alcohol, Drugs or Medication"
170249,2,None/Apparently Normal
170249,3,None/Apparently Normal
170250,1,Reported as Unknown if Impaired
170251,1,Not Reported
170252,1,None/Apparently Normal
170252,2,None/Apparently Normal
170253,1,Reported as Unknown if Impaired
170253,2,Reported as Unknown if Impaired
170254,1,Reported as Unknown if Impaired
170255,1,Reported as Unknown if Impaired
170256,1,Reported as Unknown if Impaired
170256,2,None/Apparently Normal
170257,1,None/Apparently Normal
170257,2,Other Physical Impairment
170257,3,Reported as Unknown if Impaired
170258,1,None/Apparently Normal
170258,2,None/Apparently Normal
170259,1,Reported as Unknown if Impaired
170259,2,None/Apparently Normal
170259,3,None/Apparently Normal
170260,1,None/Apparently Normal
170260,2,None/Apparently Normal
170260,3,Reported as Unknown if Impaired
170261,1,Reported as Unknown if Impaired
170261,2,None/Apparently Normal
170261,3,None/Apparently Normal
170262,1,Reported as Unknown if Impaired
170262,2,None/Apparently Normal
170263,1,Reported as Unknown if Impaired
170265,1,Reported as Unknown if Impaired
170265,2,Reported as Unknown if Impaired
170266,1,"Under the Influence of Alcohol, Drugs or Medication"
170267,1,Reported as Unknown if Impaired
170268,1,Reported as Unknown if Impaired
170269,1,Other Physical Impairment
170269,2,None/Apparently Normal
170270,1,"Emotional (depressed, angry, disturbed, etc.)"
170271,1,Reported as Unknown if Impaired
170271,2,None/Apparently Normal
170272,1,Reported as Unknown if Impaired
170272,2,Reported as Unknown if Impaired
170273,1,Reported as Unknown if Impaired
170273,2,None/Apparently Normal
170274,1,Reported as Unknown if Impaired
170275,1,Reported as Unknown if Impaired
170275,2,None/Apparently Normal
170276,1,Other Physical Impairment
170277,1,Reported as Unknown if Impaired
170278,1,None/Apparently Normal
170279,1,Reported as Unknown if Impaired
170280,1,None/Apparently Normal
170281,1,None/Apparently Normal
170282,1,Reported as Unknown if Impaired
170283,1,"Under the Influence of Alcohol, Drugs or Medication"
170284,1,None/Apparently Normal
170284,2,None/Apparently Normal
170284,3,None/Apparently Normal
170285,1,"Under the Influence of Alcohol, Drugs or Medication"
170286,1,Reported as Unknown if Impaired
170287,1,None/Apparently Normal
170288,1,Reported as Unknown if Impaired
170288,2,None/Apparently Normal
170289,1,Reported as Unknown if Impaired
170289,2,Reported as Unknown if Impaired
170290,1,Reported as Unknown if Impaired
170291,1,Reported as Unknown if Impaired
170292,1,None/Apparently Normal
170292,2,Reported as Unknown if Impaired
170293,1,"Under the Influence of Alcohol, Drugs or Medication"
170294,1,None/Apparently Normal
170294,2,None/Apparently Normal
170295,1,Reported as Unknown if Impaired
170295,2,Reported as Unknown if Impaired
170296,1,"Under the Influence of Alcohol, Drugs or Medication"
170297,1,No Driver Present/Unknown if Driver Present
170297,2,None/Apparently Normal
170298,1,None/Apparently Normal
200078,2,Not Reported
170299,1,Reported as Unknown if Impaired
170300,1,None/Apparently Normal
170301,1,None/Apparently Normal
170302,1,Reported as Unknown if Impaired
170303,1,None/Apparently Normal
170303,2,None/Apparently Normal
170304,1,Reported as Unknown if Impaired
170304,2,Reported as Unknown if Impaired
170305,1,"Under the Influence of Alcohol, Drugs or Medication"
170305,2,None/Apparently Normal
170306,1,Reported as Unknown if Impaired
