st_case,veh_no,per_no,pbage,pbsex,pbptype,pbswalk,pedctype,bikectype,pedpos,pedleg,pedsnr,pedcgp,bikecgp
123459,0,1,25,Female,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Crosswalk Area,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian within crosswalk area, approach direction unknown.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
123466,0,1,81,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
123508,0,2,998,Female,Pedestrian,None Noted,Backing Vehicle - Other / Unknown,Not a Cyclist,Crosswalk Area,Not Applicable,Not Applicable,Backing Vehicle,Not a Cyclist
123467,0,1,8,Male,Pedestrian,Yes,At Intersection - Other / Unknown,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, other",Other / Unknown - Insufficient Details,Not a Cyclist
123467,0,2,71,Female,Pedestrian,Yes,At Intersection - Other / Unknown,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, other",Other / Unknown - Insufficient Details,Not a Cyclist
123468,0,1,998,Reported as Unknown,Pedestrian,Yes,Not At Intersection - Other / Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
123470,0,1,54,Female,Pedestrian,None Noted,"Dash  Run, No Visual Obstruction Noted",Not a Cyclist,Crosswalk Area,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian within crosswalk area, traveled from motorists left.","Dash  Run, No Visual Obstruction Noted / Dart-Out  Visual Obstruction Noted",Not a Cyclist
123471,0,1,35,Male,Pedestrian,None Noted,"Dash  Run, No Visual Obstruction Noted",Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,"Dash  Run, No Visual Obstruction Noted / Dart-Out  Visual Obstruction Noted",Not a Cyclist
123476,0,1,74,Female,Pedestrian,None Noted,"Dash  Run, No Visual Obstruction Noted",Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,"Dash  Run, No Visual Obstruction Noted / Dart-Out  Visual Obstruction Noted",Not a Cyclist
123479,0,1,53,Male,Pedestrian,None Noted,Lying in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
123481,0,1,47,Female,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Other/Unknown,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
123482,0,1,51,Female,Pedestrian,Yes,Not At Intersection - Other / Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
123494,0,1,42,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
123495,0,1,998,Female,Pedestrian,None Noted,"Dash  Run, No Visual Obstruction Noted",Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,"Dash  Run, No Visual Obstruction Noted / Dart-Out  Visual Obstruction Noted",Not a Cyclist
123497,0,1,48,Male,Bicyclist,None Noted,Not a Pedestrian,Unknown Approach Paths,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Other / Unknown - Insufficient Details
123499,0,1,998,Female,Pedestrian,Yes,Motorist Right Turn - Perpendicular Paths,Not a Cyclist,Travel Lane,Unknown/None of the Above,Unknown/Insufficient Information,Crossing Roadway - Vehicle Turning,Not a Cyclist
123505,0,1,998,Reported as Unknown,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
123507,0,1,47,Male,Pedestrian,None Noted,Driverless Vehicle,Not a Cyclist,Non-Trafficway - Parking Lot/Other,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
123508,0,1,998,Female,Pedestrian,None Noted,Backing Vehicle - Other / Unknown,Not a Cyclist,Crosswalk Area,Not Applicable,Not Applicable,Backing Vehicle,Not a Cyclist
123508,0,3,998,Male,Pedestrian,None Noted,Backing Vehicle - Other / Unknown,Not a Cyclist,Crosswalk Area,Not Applicable,Not Applicable,Backing Vehicle,Not a Cyclist
123510,0,1,57,Male,Pedestrian,None Noted,Walking in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
123513,0,1,54,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
123516,0,1,72,Male,Pedestrian,Yes,Working in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Working or Playing in Roadway,Not a Cyclist
130004,0,1,31,Male,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Unpaved Right-of-Way,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
130006,0,1,58,Male,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130008,0,1,22,Female,Pedestrian,Yes,Not At Intersection - Other / Unknown,Not a Cyclist,Other/Unknown,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
130014,0,1,56,Female,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Intersection Area,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists right.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130019,0,1,50,Male,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
130021,0,1,31,Male,Pedestrian,None Noted,Working in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Working or Playing in Roadway,Not a Cyclist
130025,0,1,73,Female,Pedestrian,None Noted,Walking/Running Along Roadway Against Traffic - From Front,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
130026,0,1,998,Male,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130034,0,1,60,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Intersection Area,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists right.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130037,0,1,56,Male,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
130038,0,1,42,Male,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
130045,0,1,50,Male,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130131,0,1,41,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130046,0,1,61,Female,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Crosswalk Area,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian within crosswalk area, traveled from motorists left.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130051,0,1,55,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130052,0,1,39,Male,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Unpaved Right-of-Way,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
130067,0,1,19,Female,Pedestrian,None Noted,Vehicle into Vehicle or Vehicle into Object,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
130068,0,1,64,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists left.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130069,0,1,52,Male,Bicyclist,None Noted,Not a Pedestrian,Unknown Approach Paths,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Other / Unknown - Insufficient Details
130070,0,1,58,Male,Pedestrian,Yes,"Dash  Run, No Visual Obstruction Noted",Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,"Dash  Run, No Visual Obstruction Noted / Dart-Out  Visual Obstruction Noted",Not a Cyclist
130081,0,1,33,Female,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
130087,0,1,71,Male,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Crosswalk Area,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian within crosswalk area, traveled from motorists left.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130096,0,1,46,Female,Pedestrian,None Noted,Dispute-Related,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
130098,0,1,53,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists left.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130104,0,1,47,Female,Pedestrian,None Noted,Crossing an Expressway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Expressway,Not a Cyclist
130106,0,1,20,Female,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130115,0,1,26,Male,Pedestrian,None Noted,Crossing an Expressway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Expressway,Not a Cyclist
130118,0,1,39,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
130124,0,1,40,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130144,0,1,31,Female,Pedestrian,None Noted,Vehicle into Vehicle or Vehicle into Object,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
130150,0,1,33,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
130151,0,1,30,Male,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Intersection Area,Unknown/None of the Above,Unknown/Insufficient Information,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130151,0,2,30,Male,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Intersection Area,Unknown/None of the Above,Unknown/Insufficient Information,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130154,0,1,55,Male,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
130154,0,2,14,Female,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
130155,0,1,70,Male,Pedestrian,Yes,Motorist Exiting Driveway or Alley,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not Applicable,Not Applicable,Driveway Access/Driveway Access Related,Not a Cyclist
130156,0,1,36,Male,Pedestrian,Yes,Not At Intersection - Other / Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
130157,0,1,53,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130160,0,1,16,Male,Pedestrian,Yes,Walking/Running Along Roadway Against Traffic - From Front,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
130163,0,1,67,Male,Bicyclist,None Noted,Not a Pedestrian,Motorist Overtaking - Misjudged Space,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Motorist Overtaking Bicyclist
130169,0,1,57,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130169,0,2,47,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130170,0,1,39,Female,Pedestrian,None Noted,Crossing an Expressway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Expressway,Not a Cyclist
130173,0,1,42,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130179,0,1,62,Male,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists right.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130180,0,1,15,Female,Pedestrian,Yes,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
130186,0,1,38,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130187,0,1,20,Female,Pedestrian,None Noted,Crossing an Expressway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Expressway,Not a Cyclist
130188,0,1,40,Female,Pedestrian,None Noted,Walking/Running Along Roadway Against Traffic - From Front,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
130189,0,1,54,Female,Person on a Personal Conveyance,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130192,0,1,45,Male,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
130194,0,1,23,Female,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
130194,0,2,28,Male,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
130195,0,1,35,Female,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Other/Unknown,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
130203,0,1,44,Male,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
130205,0,1,63,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130206,0,1,76,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130217,0,1,38,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
130222,0,1,46,Female,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130223,0,1,22,Female,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130225,0,1,55,Female,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130228,0,1,18,Male,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
130230,0,1,36,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
130232,0,1,58,Female,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130235,0,1,999,Male,Pedestrian,None Noted,Dart-Out  Visual Obstruction Noted,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,"Dash  Run, No Visual Obstruction Noted / Dart-Out  Visual Obstruction Noted",Not a Cyclist
130236,0,1,59,Female,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130239,0,1,39,Male,Pedestrian,None Noted,Crossing an Expressway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Expressway,Not a Cyclist
130242,0,1,31,Male,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists right.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130245,0,1,63,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130248,0,1,42,Female,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
130253,0,1,7,Female,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130255,0,1,57,Female,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130256,0,1,14,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
130259,0,1,37,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Intersection Area,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists right.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130267,0,1,999,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130268,0,1,22,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130269,0,1,59,Male,Bicyclist,None Noted,Not a Pedestrian,Motorist Overtaking - Misjudged Space,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Motorist Overtaking Bicyclist
130288,0,1,20,Male,Pedestrian,None Noted,Standing in Roadway,Not a Cyclist,Travel Lane,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian outside crosswalk area, other",Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
130295,0,1,61,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists right.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130301,0,1,47,Male,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Intersection Area,Unknown/None of the Above,Unknown/Insufficient Information,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130302,0,1,62,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130306,0,1,6,Male,Pedestrian,Yes,Dart-Out  Visual Obstruction Noted,Not a Cyclist,Travel Lane,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists right.","Dash  Run, No Visual Obstruction Noted / Dart-Out  Visual Obstruction Noted",Not a Cyclist
130307,0,1,22,Male,Pedestrian,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
130311,0,1,28,Male,Pedestrian,None Noted,Vehicle into Vehicle or Vehicle into Object,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
130312,0,1,43,Male,Pedestrian,None Noted,Motor Vehicle Loss of Control,Not a Cyclist,Other/Unknown,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
130317,0,1,20,Male,Bicyclist,None Noted,Not a Pedestrian,Motorist Overtaking - Other/ Unknown,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Motorist Overtaking Bicyclist
130321,0,1,34,Male,Pedestrian,None Noted,Disabled Vehicle-Related,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Unusual Circumstances,Not a Cyclist
130324,0,1,58,Male,Pedestrian,Yes,"Dash  Run, No Visual Obstruction Noted",Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,"Dash  Run, No Visual Obstruction Noted / Dart-Out  Visual Obstruction Noted",Not a Cyclist
130325,0,1,59,Male,Pedestrian,Yes,Motorist Exiting Driveway or Alley,Not a Cyclist,Travel Lane,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists right.",Driveway Access/Driveway Access Related,Not a Cyclist
130328,0,1,54,Male,Pedestrian,Yes,Motorist Failed to Yield,Not a Cyclist,Travel Lane,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists left.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130330,0,1,48,Male,Pedestrian,None Noted,Not At Intersection - Other / Unknown,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Other / Unknown - Insufficient Details,Not a Cyclist
130332,0,1,78,Male,Pedestrian,None Noted,Working in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Working or Playing in Roadway,Not a Cyclist
130336,0,1,62,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130337,0,1,64,Male,Pedestrian,None Noted,Standing in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
130338,0,1,29,Male,Pedestrian,Yes,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Farside,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, traveled from motorists right.",Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130345,0,1,44,Male,Pedestrian,None Noted,Lying in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
130350,0,1,40,Male,Pedestrian,None Noted,Waiting to Cross - Vehicle Action Unknown,Not a Cyclist,Paved Shoulder / Bicycle Lane / Parking Lane,Not Applicable,Not Applicable,Waiting to Cross,Not a Cyclist
130351,0,1,21,Male,Bicyclist,None Noted,Not a Pedestrian,Motorist Overtaking - Undetected Bicyclist�or Detected - Too Late to Avoid,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Not a Pedestrian,Motorist Overtaking Bicyclist
130353,0,1,57,Male,Pedestrian,None Noted,At Intersection - Other / Unknown,Not a Cyclist,Intersection Area,Nearside,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian outside crosswalk area, other",Other / Unknown - Insufficient Details,Not a Cyclist
130356,0,1,49,Female,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
130360,0,1,77,Male,Pedestrian,None Noted,Walking/Running Along Roadway With Traffic - From Behind,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Walking/Running Along Roadway,Not a Cyclist
130362,0,1,32,Male,Pedestrian,None Noted,Standing in Roadway,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Pedestrian in Roadway - Circumstances Unknown,Not a Cyclist
130364,0,1,20,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130373,0,1,66,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130376,0,1,36,Female,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130377,0,1,81,Male,Pedestrian,None Noted,Pedestrian Failed to Yield,Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,Crossing Roadway - Vehicle Not Turning,Not a Cyclist
130379,0,1,998,Not Reported,Pedestrian,None Noted,"Dash  Run, No Visual Obstruction Noted",Not a Cyclist,Travel Lane,Not Applicable,Not Applicable,"Dash  Run, No Visual Obstruction Noted / Dart-Out  Visual Obstruction Noted",Not a Cyclist
