ST_CASE,VEH_NO,DRIVER_IMPAIRMENT
220463,1,"Under the Influence of Alcohol, Drugs or Medication"
220464,1,None/Apparently Normal
220465,1,
220465,2,
220466,1,None/Apparently Normal
220466,2,
220467,1,
220468,1,"Ill, Blackout"
220469,1,None/Apparently Normal
220469,2,None/Apparently Normal
220470,1,"Under the Influence of Alcohol, Drugs or Medication"
220471,1,
220471,2,None/Apparently Normal
220472,1,None/Apparently Normal
220472,2,None/Apparently Normal
220473,1,None/Apparently Normal
220474,1,
220474,2,None/Apparently Normal
220475,1,None/Apparently Normal
220475,2,
220476,1,
220477,1,
220477,2,None/Apparently Normal
220478,1,
220478,2,None/Apparently Normal
220479,1,None/Apparently Normal
220480,1,
220480,2,None/Apparently Normal
220481,1,
220481,2,None/Apparently Normal
220482,1,"Under the Influence of Alcohol, Drugs or Medication"
220482,2,None/Apparently Normal
220483,1,"Under the Influence of Alcohol, Drugs or Medication"
220484,1,None/Apparently Normal
220484,2,
220485,1,None/Apparently Normal
220485,2,"Under the Influence of Alcohol, Drugs or Medication"
220486,1,
220486,2,None/Apparently Normal
220487,1,"Under the Influence of Alcohol, Drugs or Medication"
220488,1,"Under the Influence of Alcohol, Drugs or Medication"
220489,1,
220489,2,
220490,1,
220491,1,
220492,1,None/Apparently Normal
220492,2,None/Apparently Normal
220493,1,
220493,2,
220493,3,None/Apparently Normal
220494,1,None/Apparently Normal
220495,1,None/Apparently Normal
220496,1,
220497,1,
220498,1,"Under the Influence of Alcohol, Drugs or Medication"
220499,1,"Under the Influence of Alcohol, Drugs or Medication"
220500,1,
220500,2,
220501,1,None/Apparently Normal
220502,1,"Under the Influence of Alcohol, Drugs or Medication"
220503,1,"Under the Influence of Alcohol, Drugs or Medication"
220503,2,None/Apparently Normal
220504,1,"Under the Influence of Alcohol, Drugs or Medication"
220505,1,None/Apparently Normal
220506,1,"Under the Influence of Alcohol, Drugs or Medication"
220507,1,
220508,1,
220509,1,
220509,2,
220510,1,None/Apparently Normal
220511,1,None/Apparently Normal
220511,2,
220512,1,None/Apparently Normal
220512,2,None/Apparently Normal
220513,1,
220514,1,None/Apparently Normal
220515,1,
220516,1,
220517,1,None/Apparently Normal
220517,2,None/Apparently Normal
220518,1,
220519,1,"Under the Influence of Alcohol, Drugs or Medication"
220520,1,None/Apparently Normal
220521,1,"Under the Influence of Alcohol, Drugs or Medication"
220521,2,None/Apparently Normal
220522,1,
220522,2,None/Apparently Normal
220523,1,"Under the Influence of Alcohol, Drugs or Medication"
220523,2,
220524,1,None/Apparently Normal
220524,2,None/Apparently Normal
220525,1,
220526,1,
220526,2,
220527,1,
220528,1,None/Apparently Normal
220529,1,
220530,1,None/Apparently Normal
220531,1,None/Apparently Normal
220532,1,
220532,2,None/Apparently Normal
220533,1,None/Apparently Normal
220534,1,"Ill, Blackout"
220535,1,None/Apparently Normal
220535,2,None/Apparently Normal
220536,1,None/Apparently Normal
220536,2,
220537,1,None/Apparently Normal
220538,1,
220538,2,None/Apparently Normal
220539,1,None/Apparently Normal
220539,2,
220540,1,
220540,2,None/Apparently Normal
220541,1,None/Apparently Normal
220542,1,"Ill, Blackout"
220542,2,None/Apparently Normal
220542,3,None/Apparently Normal
220543,1,
220543,2,None/Apparently Normal
220544,1,
220544,2,None/Apparently Normal
220545,1,
220545,2,None/Apparently Normal
220546,1,
220546,2,None/Apparently Normal
220547,1,None/Apparently Normal
220547,2,None/Apparently Normal
220548,1,"Under the Influence of Alcohol, Drugs or Medication"
220549,1,
220549,2,None/Apparently Normal
220550,1,
220551,1,"Under the Influence of Alcohol, Drugs or Medication"
220552,1,"Under the Influence of Alcohol, Drugs or Medication"
220553,1,"Under the Influence of Alcohol, Drugs or Medication"
220553,2,None/Apparently Normal
220553,3,None/Apparently Normal
220554,1,
220555,1,
220555,2,None/Apparently Normal
220556,1,None/Apparently Normal
220557,1,"Under the Influence of Alcohol, Drugs or Medication"
220558,1,
220559,1,
220560,1,"Under the Influence of Alcohol, Drugs or Medication"
220560,2,None/Apparently Normal
220561,1,
220562,1,None/Apparently Normal
220563,1,None/Apparently Normal
220563,2,None/Apparently Normal
220565,1,
220566,1,
220567,1,None/Apparently Normal
220567,2,
220568,1,
220569,1,
220570,1,"Under the Influence of Alcohol, Drugs or Medication"
220571,1,
220572,1,None/Apparently Normal
220572,2,None/Apparently Normal
220573,1,None/Apparently Normal
220573,2,None/Apparently Normal
220574,1,None/Apparently Normal
220576,1,None/Apparently Normal
220576,2,None/Apparently Normal
220576,3,None/Apparently Normal
220577,1,Asleep or Fatigued
220578,1,
220578,2,
220579,1,
220580,1,"Under the Influence of Alcohol, Drugs or Medication"
220581,1,
220581,2,
220582,1,None/Apparently Normal
220583,1,
220583,2,
220583,3,None/Apparently Normal
220584,1,None/Apparently Normal
220585,1,
220585,2,None/Apparently Normal
220586,1,Asleep or Fatigued
220587,1,None/Apparently Normal
220588,1,
220589,1,None/Apparently Normal
220590,1,None/Apparently Normal
220590,2,None/Apparently Normal
220591,1,None/Apparently Normal
220591,2,None/Apparently Normal
220592,1,None/Apparently Normal
220593,1,None/Apparently Normal
220594,1,"Under the Influence of Alcohol, Drugs or Medication"
220596,1,None/Apparently Normal
220596,2,None/Apparently Normal
220596,3,None/Apparently Normal
220597,1,None/Apparently Normal
220598,1,
220598,2,
220599,1,None/Apparently Normal
220600,1,
220600,2,"Under the Influence of Alcohol, Drugs or Medication"
220601,1,"Under the Influence of Alcohol, Drugs or Medication"
220601,2,None/Apparently Normal
220602,1,
220602,2,
220602,3,None/Apparently Normal
220603,1,None/Apparently Normal
220603,2,
220604,1,"Under the Influence of Alcohol, Drugs or Medication"
220604,2,
220605,1,
220606,1,
220607,1,
220607,2,
220608,1,
220609,1,
220610,1,
220611,1,
220611,2,None/Apparently Normal
220612,1,
220613,1,
220613,2,None/Apparently Normal
220614,1,
220615,1,
220615,2,None/Apparently Normal
220615,3,
220616,1,"Under the Influence of Alcohol, Drugs or Medication"
220617,1,
220618,1,
220619,1,
220620,1,
220620,2,
220621,1,"Under the Influence of Alcohol, Drugs or Medication"
220623,1,
220624,1,None/Apparently Normal
220624,2,None/Apparently Normal
220625,1,
220625,2,None/Apparently Normal
220626,1,
220627,1,None/Apparently Normal
220627,2,
220629,1,
220630,1,
220630,2,None/Apparently Normal
220631,1,None/Apparently Normal
220631,2,None/Apparently Normal
220632,1,None/Apparently Normal
220633,1,None/Apparently Normal
220634,1,"Under the Influence of Alcohol, Drugs or Medication"
220635,1,
220636,1,
220637,1,None/Apparently Normal
220638,1,
220639,1,
220640,1,"Under the Influence of Alcohol, Drugs or Medication"
220641,1,"Under the Influence of Alcohol, Drugs or Medication"
220641,2,None/Apparently Normal
220642,1,None/Apparently Normal
220642,2,
220643,1,"Under the Influence of Alcohol, Drugs or Medication"
220644,1,None/Apparently Normal
220645,1,None/Apparently Normal
220645,2,None/Apparently Normal
220646,1,"Under the Influence of Alcohol, Drugs or Medication"
220647,1,"Under the Influence of Alcohol, Drugs or Medication"
220648,1,
220649,1,"Under the Influence of Alcohol, Drugs or Medication"
220650,1,
220650,2,None/Apparently Normal
220651,1,
220651,2,None/Apparently Normal
220652,1,"Under the Influence of Alcohol, Drugs or Medication"
220653,1,None/Apparently Normal
220654,1,
220655,1,
220655,2,
220656,1,
220656,2,
220657,1,
220658,1,
220658,2,
220659,1,
220660,1,
220661,1,
220662,1,"Under the Influence of Alcohol, Drugs or Medication"
220662,2,None/Apparently Normal
220663,1,
220663,2,None/Apparently Normal
220664,1,
220665,1,
220666,1,
220666,2,
220667,1,
220668,1,"Under the Influence of Alcohol, Drugs or Medication"
220668,2,
220668,3,None/Apparently Normal
220669,1,None/Apparently Normal
220670,1,
220671,1,
220672,1,
220673,1,"Under the Influence of Alcohol, Drugs or Medication"
220673,2,None/Apparently Normal
220673,3,None/Apparently Normal
220673,4,"Under the Influence of Alcohol, Drugs or Medication"
220674,1,"Under the Influence of Alcohol, Drugs or Medication"
220674,2,None/Apparently Normal
220675,1,
220676,1,None/Apparently Normal
220677,1,
220678,1,None/Apparently Normal
220678,2,None/Apparently Normal
220679,1,None/Apparently Normal
220679,2,None/Apparently Normal
220680,1,
220680,2,None/Apparently Normal
220681,1,
220682,1,
220683,1,None/Apparently Normal
220684,1,
220684,2,None/Apparently Normal
220685,1,
220686,1,None/Apparently Normal
220687,1,
220687,2,
220687,3,None/Apparently Normal
220688,1,None/Apparently Normal
220689,1,"Under the Influence of Alcohol, Drugs or Medication"
220690,1,
220690,2,None/Apparently Normal
220691,1,
220691,2,
220692,1,"Under the Influence of Alcohol, Drugs or Medication"
220693,1,Asleep or Fatigued
220694,1,None/Apparently Normal
220694,2,None/Apparently Normal
220695,1,
220696,1,
220696,2,None/Apparently Normal
220696,3,None/Apparently Normal
220697,1,None/Apparently Normal
220697,2,None/Apparently Normal
220698,1,None/Apparently Normal
220699,1,
220700,1,
220701,1,
220702,1,None/Apparently Normal
220702,2,None/Apparently Normal
220703,1,
220704,1,None/Apparently Normal
220705,1,"Under the Influence of Alcohol, Drugs or Medication"
220705,2,None/Apparently Normal
220706,1,None/Apparently Normal
220706,2,None/Apparently Normal
220707,1,
220707,2,
220708,1,None/Apparently Normal
220709,1,"Under the Influence of Alcohol, Drugs or Medication"
220710,1,Asleep or Fatigued
220711,1,
220711,2,None/Apparently Normal
220712,1,
220713,1,
220713,2,None/Apparently Normal
220714,1,None/Apparently Normal
220715,1,
220716,1,
220717,1,
220718,1,
220718,2,
220719,1,"Under the Influence of Alcohol, Drugs or Medication"
220719,2,None/Apparently Normal
220719,3,None/Apparently Normal
220720,1,None/Apparently Normal
220720,2,None/Apparently Normal
220721,1,"Ill, Blackout"
220721,2,
220722,1,
220722,2,None/Apparently Normal
220723,1,None/Apparently Normal
220724,1,None/Apparently Normal
220725,1,
220726,1,"Under the Influence of Alcohol, Drugs or Medication"
220726,2,None/Apparently Normal
220727,1,
220727,2,
220727,3,
220727,4,
220728,1,None/Apparently Normal
220728,2,None/Apparently Normal
220729,1,None/Apparently Normal
220730,1,
220730,2,None/Apparently Normal
220730,3,None/Apparently Normal
220731,1,
220732,1,None/Apparently Normal
220733,1,
220734,1,None/Apparently Normal
220735,1,
220736,1,None/Apparently Normal
220736,2,None/Apparently Normal
220737,1,Other Physical Impairment
220738,1,
220740,1,
220740,2,None/Apparently Normal
220741,1,None/Apparently Normal
220741,2,"Under the Influence of Alcohol, Drugs or Medication"
220742,1,None/Apparently Normal
220743,1,"Under the Influence of Alcohol, Drugs or Medication"
220743,2,None/Apparently Normal
220744,1,
220744,2,None/Apparently Normal
220744,3,None/Apparently Normal
220744,4,None/Apparently Normal
220745,1,None/Apparently Normal
220746,1,
220747,1,
220747,2,None/Apparently Normal
220748,1,None/Apparently Normal
220748,2,None/Apparently Normal
220749,1,
220749,2,
220750,1,None/Apparently Normal
220751,1,
220752,1,
220752,2,None/Apparently Normal
220753,1,
220753,2,None/Apparently Normal
220753,3,None/Apparently Normal
220754,1,
220754,2,None/Apparently Normal
220754,3,None/Apparently Normal
220755,1,"Under the Influence of Alcohol, Drugs or Medication"
220756,1,
220756,2,None/Apparently Normal
220757,1,"Under the Influence of Alcohol, Drugs or Medication"
220757,2,None/Apparently Normal
220758,1,None/Apparently Normal
220758,2,None/Apparently Normal
220759,1,Asleep or Fatigued
220759,2,None/Apparently Normal
220759,3,
220760,1,"Under the Influence of Alcohol, Drugs or Medication"
220761,1,
220761,2,None/Apparently Normal
220762,1,
220763,1,"Under the Influence of Alcohol, Drugs or Medication"
220763,2,None/Apparently Normal
220763,3,None/Apparently Normal
220764,1,"Under the Influence of Alcohol, Drugs or Medication"
220765,1,None/Apparently Normal
220766,1,None/Apparently Normal
220767,1,"Under the Influence of Alcohol, Drugs or Medication"
220768,1,None/Apparently Normal
220769,1,None/Apparently Normal
220770,1,"Under the Influence of Alcohol, Drugs or Medication"
220770,2,None/Apparently Normal
220771,1,None/Apparently Normal
220772,1,"Under the Influence of Alcohol, Drugs or Medication"
220772,2,None/Apparently Normal
220773,1,None/Apparently Normal
220774,1,
220775,1,None/Apparently Normal
220775,2,None/Apparently Normal
220776,1,None/Apparently Normal
220776,2,None/Apparently Normal
220776,3,None/Apparently Normal
220776,4,None/Apparently Normal
220777,1,None/Apparently Normal
220778,1,
220778,2,None/Apparently Normal
220779,1,None/Apparently Normal
220780,1,
220780,2,None/Apparently Normal
220781,1,"Emotional (depressed, angry, disturbed, etc.)"
220782,1,
220782,2,
220783,1,"Under the Influence of Alcohol, Drugs or Medication"
220784,1,None/Apparently Normal
220785,1,"Under the Influence of Alcohol, Drugs or Medication"
220785,2,None/Apparently Normal
220785,3,None/Apparently Normal
220786,1,
220787,1,None/Apparently Normal
220788,1,
220788,2,None/Apparently Normal
220789,1,
220789,2,None/Apparently Normal
220789,3,
220790,1,None/Apparently Normal
220791,1,
220792,1,
220793,1,
220794,1,"Under the Influence of Alcohol, Drugs or Medication"
220794,2,None/Apparently Normal
220795,1,
220795,2,
220796,1,"Under the Influence of Alcohol, Drugs or Medication"
220797,1,
220798,1,"Under the Influence of Alcohol, Drugs or Medication"
220799,1,
220799,2,None/Apparently Normal
220799,3,None/Apparently Normal
220800,1,None/Apparently Normal
220801,1,
220802,1,None/Apparently Normal
220802,2,
220803,1,None/Apparently Normal
220803,2,None/Apparently Normal
220804,1,
220805,1,
220805,2,
220806,1,
220807,1,
220808,1,None/Apparently Normal
220809,1,
220810,1,None/Apparently Normal
220811,1,
220812,1,"Under the Influence of Alcohol, Drugs or Medication"
220813,1,None/Apparently Normal
220813,2,
220813,3,None/Apparently Normal
220814,1,"Under the Influence of Alcohol, Drugs or Medication"
220815,1,None/Apparently Normal
220816,1,
220816,2,None/Apparently Normal
220816,3,None/Apparently Normal
220817,1,"Under the Influence of Alcohol, Drugs or Medication"
220817,2,None/Apparently Normal
220818,1,"Under the Influence of Alcohol, Drugs or Medication"
220819,1,
220819,2,
220820,1,
220821,1,None/Apparently Normal
220822,1,None/Apparently Normal
220823,1,"Under the Influence of Alcohol, Drugs or Medication"
220823,2,None/Apparently Normal
220824,1,"Under the Influence of Alcohol, Drugs or Medication"
220824,2,None/Apparently Normal
220824,3,
220825,1,None/Apparently Normal
220826,1,None/Apparently Normal
220826,2,None/Apparently Normal
220827,1,
220828,1,None/Apparently Normal
220828,2,None/Apparently Normal
220830,1,
220831,1,
220831,2,
220832,1,None/Apparently Normal
220832,2,None/Apparently Normal
220833,1,
220834,1,None/Apparently Normal
220834,2,None/Apparently Normal
220835,1,"Under the Influence of Alcohol, Drugs or Medication"
220835,2,None/Apparently Normal
220836,1,"Under the Influence of Alcohol, Drugs or Medication"
220836,2,None/Apparently Normal
220837,1,
220838,1,"Under the Influence of Alcohol, Drugs or Medication"
220839,1,
220840,1,None/Apparently Normal
220841,1,
220842,1,None/Apparently Normal
220843,1,None/Apparently Normal
220845,1,
220846,1,None/Apparently Normal
220847,1,None/Apparently Normal
220847,2,
220848,1,None/Apparently Normal
220848,2,None/Apparently Normal
220849,1,None/Apparently Normal
220850,1,"Under the Influence of Alcohol, Drugs or Medication"
220851,1,
220852,1,
220853,1,"Under the Influence of Alcohol, Drugs or Medication"
220854,1,"Under the Influence of Alcohol, Drugs or Medication"
220854,2,None/Apparently Normal
220855,1,
220855,2,
220856,1,None/Apparently Normal
220857,1,
220858,1,None/Apparently Normal
220859,1,"Under the Influence of Alcohol, Drugs or Medication"
220860,1,None/Apparently Normal
220861,1,"Ill, Blackout"
220862,1,"Under the Influence of Alcohol, Drugs or Medication"
220863,1,
220865,1,
220866,1,
220866,2,
220867,1,None/Apparently Normal
220868,1,None/Apparently Normal
220869,1,
220869,2,
220870,1,None/Apparently Normal
220870,2,
220871,1,
220871,2,None/Apparently Normal
220872,1,
220873,1,
220874,1,
220874,2,None/Apparently Normal
220875,1,
220875,2,None/Apparently Normal
220875,3,None/Apparently Normal
220875,4,None/Apparently Normal
220875,5,None/Apparently Normal
220876,1,
220877,1,
220878,1,
220879,1,
220880,1,None/Apparently Normal
230001,1,None/Apparently Normal
230002,1,None/Apparently Normal
230003,1,None/Apparently Normal
230003,2,None/Apparently Normal
230003,3,None/Apparently Normal
230004,1,"Under the Influence of Alcohol, Drugs or Medication"
230005,1,None/Apparently Normal
230006,1,None/Apparently Normal
230006,2,None/Apparently Normal
230007,1,None/Apparently Normal
230007,2,None/Apparently Normal
230008,1,None/Apparently Normal
230009,1,None/Apparently Normal
230010,1,None/Apparently Normal
230010,2,None/Apparently Normal
230011,1,None/Apparently Normal
230011,2,None/Apparently Normal
230012,1,None/Apparently Normal
230013,1,None/Apparently Normal
230014,1,"Under the Influence of Alcohol, Drugs or Medication"
230015,1,"Under the Influence of Alcohol, Drugs or Medication"
230016,1,None/Apparently Normal
230017,1,None/Apparently Normal
230017,2,None/Apparently Normal
230018,1,"Under the Influence of Alcohol, Drugs or Medication"
230019,1,None/Apparently Normal
230019,2,None/Apparently Normal
230019,3,None/Apparently Normal
230019,4,None/Apparently Normal
230020,1,None/Apparently Normal
230020,2,None/Apparently Normal
230020,3,None/Apparently Normal
230021,1,None/Apparently Normal
230022,1,None/Apparently Normal
230022,2,None/Apparently Normal
230023,1,None/Apparently Normal
230024,1,"Under the Influence of Alcohol, Drugs or Medication"
230024,2,None/Apparently Normal
230025,1,None/Apparently Normal
230026,1,None/Apparently Normal
230026,2,None/Apparently Normal
230026,3,None/Apparently Normal
230027,1,"Under the Influence of Alcohol, Drugs or Medication"
230028,1,"Under the Influence of Alcohol, Drugs or Medication"
230029,1,"Under the Influence of Alcohol, Drugs or Medication"
230029,2,None/Apparently Normal
230030,1,None/Apparently Normal
230030,2,None/Apparently Normal
230030,3,None/Apparently Normal
230031,1,"Under the Influence of Alcohol, Drugs or Medication"
230031,2,None/Apparently Normal
230032,1,None/Apparently Normal
230032,2,None/Apparently Normal
230033,1,None/Apparently Normal
230034,1,Asleep or Fatigued
230035,1,"Under the Influence of Alcohol, Drugs or Medication"
230035,2,None/Apparently Normal
230036,1,
230036,2,None/Apparently Normal
230036,3,None/Apparently Normal
230037,1,None/Apparently Normal
230038,1,None/Apparently Normal
230039,1,None/Apparently Normal
230040,1,None/Apparently Normal
230040,2,None/Apparently Normal
230040,3,Asleep or Fatigued
230040,4,None/Apparently Normal
230041,1,None/Apparently Normal
230042,1,"Under the Influence of Alcohol, Drugs or Medication"
230043,1,None/Apparently Normal
230044,1,None/Apparently Normal
230045,1,"Under the Influence of Alcohol, Drugs or Medication"
230046,1,None/Apparently Normal
230047,1,None/Apparently Normal
230048,1,"Under the Influence of Alcohol, Drugs or Medication"
230049,1,None/Apparently Normal
230050,1,None/Apparently Normal
230051,1,None/Apparently Normal
230052,1,"Under the Influence of Alcohol, Drugs or Medication"
230052,2,None/Apparently Normal
230053,1,"Under the Influence of Alcohol, Drugs or Medication"
230054,1,None/Apparently Normal
230055,1,None/Apparently Normal
230055,2,None/Apparently Normal
230055,3,None/Apparently Normal
230056,1,None/Apparently Normal
230057,1,"Ill, Blackout"
230057,2,None/Apparently Normal
230058,1,None/Apparently Normal
230059,1,"Under the Influence of Alcohol, Drugs or Medication"
230060,1,None/Apparently Normal
230060,2,None/Apparently Normal
230061,1,None/Apparently Normal
230061,2,None/Apparently Normal
230062,1,None/Apparently Normal
230063,1,None/Apparently Normal
230064,1,None/Apparently Normal
230064,2,"Emotional (depressed, angry, disturbed, etc.)"
230065,1,None/Apparently Normal
230066,1,Other Physical Impairment
230067,1,None/Apparently Normal
230068,1,"Emotional (depressed, angry, disturbed, etc.)"
230068,2,None/Apparently Normal
230069,1,None/Apparently Normal
230070,1,"Under the Influence of Alcohol, Drugs or Medication"
230071,1,None/Apparently Normal
230072,1,None/Apparently Normal
230072,2,None/Apparently Normal
230073,1,None/Apparently Normal
230074,1,None/Apparently Normal
230074,2,None/Apparently Normal
230075,1,None/Apparently Normal
230076,1,"Under the Influence of Alcohol, Drugs or Medication"
230077,1,None/Apparently Normal
230078,1,None/Apparently Normal
230078,2,None/Apparently Normal
230079,1,None/Apparently Normal
230080,1,None/Apparently Normal
230081,1,None/Apparently Normal
230081,2,None/Apparently Normal
230082,1,None/Apparently Normal
230082,2,None/Apparently Normal
230083,1,None/Apparently Normal
230083,2,None/Apparently Normal
230084,1,"Under the Influence of Alcohol, Drugs or Medication"
230085,1,None/Apparently Normal
230086,1,None/Apparently Normal
230086,2,None/Apparently Normal
230087,1,None/Apparently Normal
230088,1,None/Apparently Normal
230088,2,None/Apparently Normal
230089,1,Physical Impairment - No Details
230090,1,"Under the Influence of Alcohol, Drugs or Medication"
230090,2,None/Apparently Normal
230091,1,None/Apparently Normal
230091,2,None/Apparently Normal
230092,1,None/Apparently Normal
230092,2,None/Apparently Normal
230093,1,None/Apparently Normal
230093,2,None/Apparently Normal
230094,1,None/Apparently Normal
230094,2,None/Apparently Normal
230095,1,"Under the Influence of Alcohol, Drugs or Medication"
230096,1,"Under the Influence of Alcohol, Drugs or Medication"
230097,1,None/Apparently Normal
230097,2,None/Apparently Normal
230098,1,None/Apparently Normal
230099,1,None/Apparently Normal
230099,2,Asleep or Fatigued
230100,1,"Under the Influence of Alcohol, Drugs or Medication"
230100,2,None/Apparently Normal
230101,1,None/Apparently Normal
230102,1,None/Apparently Normal
230103,1,None/Apparently Normal
230104,1,
230105,1,None/Apparently Normal
230105,2,None/Apparently Normal
230106,1,None/Apparently Normal
230106,2,None/Apparently Normal
230107,1,None/Apparently Normal
230108,1,None/Apparently Normal
230108,2,None/Apparently Normal
230109,1,None/Apparently Normal
230109,2,None/Apparently Normal
230110,1,None/Apparently Normal
230110,2,"Under the Influence of Alcohol, Drugs or Medication"
230111,1,"Under the Influence of Alcohol, Drugs or Medication"
230112,1,Asleep or Fatigued
230112,2,None/Apparently Normal
230113,1,None/Apparently Normal
230113,2,None/Apparently Normal
230114,1,None/Apparently Normal
230115,1,None/Apparently Normal
230115,2,None/Apparently Normal
230116,1,None/Apparently Normal
230116,2,None/Apparently Normal
230117,1,None/Apparently Normal
230118,1,None/Apparently Normal
230118,2,None/Apparently Normal
230118,3,None/Apparently Normal
230119,1,None/Apparently Normal
230120,1,None/Apparently Normal
230120,3,None/Apparently Normal
230121,1,"Ill, Blackout"
230122,1,None/Apparently Normal
230123,1,"Under the Influence of Alcohol, Drugs or Medication"
230124,1,"Under the Influence of Alcohol, Drugs or Medication"
230125,1,None/Apparently Normal
230126,1,None/Apparently Normal
230127,1,None/Apparently Normal
230127,2,None/Apparently Normal
230128,1,None/Apparently Normal
230129,1,None/Apparently Normal
230129,2,None/Apparently Normal
230130,1,None/Apparently Normal
230130,2,
230131,1,"Under the Influence of Alcohol, Drugs or Medication"
230132,1,None/Apparently Normal
230133,1,
230134,1,None/Apparently Normal
230135,1,None/Apparently Normal
230136,1,None/Apparently Normal
230136,2,None/Apparently Normal
230136,3,None/Apparently Normal
230137,1,None/Apparently Normal
230137,2,None/Apparently Normal
230138,1,None/Apparently Normal
230139,1,Asleep or Fatigued
230140,1,None/Apparently Normal
230140,2,None/Apparently Normal
230140,3,None/Apparently Normal
230140,4,None/Apparently Normal
230141,1,None/Apparently Normal
230142,1,Asleep or Fatigued
230142,1,"Under the Influence of Alcohol, Drugs or Medication"
230143,1,None/Apparently Normal
230144,1,"Under the Influence of Alcohol, Drugs or Medication"
230145,1,None/Apparently Normal
230146,1,None/Apparently Normal
230147,1,"Under the Influence of Alcohol, Drugs or Medication"
230147,2,None/Apparently Normal
230147,3,None/Apparently Normal
230147,4,None/Apparently Normal
230148,1,None/Apparently Normal
230148,2,None/Apparently Normal
230149,1,None/Apparently Normal
230150,1,"Ill, Blackout"
230150,2,None/Apparently Normal
230152,1,None/Apparently Normal
230153,1,None/Apparently Normal
230154,1,None/Apparently Normal
230155,1,None/Apparently Normal
230156,1,Asleep or Fatigued
230157,1,None/Apparently Normal
230158,1,None/Apparently Normal
230159,1,None/Apparently Normal
230159,2,None/Apparently Normal
230160,1,None/Apparently Normal
230161,1,None/Apparently Normal
230161,2,None/Apparently Normal
230162,1,None/Apparently Normal
230162,2,None/Apparently Normal
230162,3,None/Apparently Normal
230163,1,
230164,1,None/Apparently Normal
230165,1,None/Apparently Normal
230166,1,"Ill, Blackout"
230167,1,Physical Impairment - No Details
230168,1,Physical Impairment - No Details
230169,1,None/Apparently Normal
230169,2,None/Apparently Normal
230170,1,None/Apparently Normal
230171,1,"Under the Influence of Alcohol, Drugs or Medication"
230172,1,"Under the Influence of Alcohol, Drugs or Medication"
240001,1,"Ill, Blackout"
240001,2,None/Apparently Normal
240002,1,None/Apparently Normal
240002,2,None/Apparently Normal
240003,1,None/Apparently Normal
240004,1,None/Apparently Normal
240004,2,None/Apparently Normal
240005,1,None/Apparently Normal
240006,1,
240008,1,
240009,1,
240010,1,
240011,1,None/Apparently Normal
240012,1,None/Apparently Normal
240014,1,None/Apparently Normal
240015,1,
240015,2,
240016,1,None/Apparently Normal
240017,1,
240018,1,
240019,1,
240020,1,None/Apparently Normal
240021,1,
240021,2,None/Apparently Normal
240022,1,
240023,1,"Under the Influence of Alcohol, Drugs or Medication"
240024,1,
240025,1,
240025,2,
240026,1,
240027,1,
240028,1,
240028,2,
240029,1,
240030,1,Asleep or Fatigued
240030,2,None/Apparently Normal
240030,3,None/Apparently Normal
240031,1,
240031,2,None/Apparently Normal
240032,1,
240032,2,None/Apparently Normal
240033,1,None/Apparently Normal
240034,1,
240035,1,
240036,1,"Under the Influence of Alcohol, Drugs or Medication"
240036,2,None/Apparently Normal
240037,1,
240038,1,
240039,1,
240039,2,None/Apparently Normal
240040,1,
240040,2,None/Apparently Normal
240041,1,
240041,2,None/Apparently Normal
240042,1,None/Apparently Normal
240043,1,
240044,1,
240045,1,
240046,1,
240047,1,None/Apparently Normal
240048,1,None/Apparently Normal
240048,2,
240048,3,None/Apparently Normal
240049,1,
240049,2,None/Apparently Normal
240050,1,
240051,1,
240051,2,None/Apparently Normal
240052,1,
240053,1,
240053,2,None/Apparently Normal
240053,3,None/Apparently Normal
240054,1,None/Apparently Normal
240055,1,
240055,2,None/Apparently Normal
240055,3,None/Apparently Normal
240056,1,"Under the Influence of Alcohol, Drugs or Medication"
240056,2,None/Apparently Normal
240057,1,None/Apparently Normal
240058,1,None/Apparently Normal
240059,1,None/Apparently Normal
240060,1,
240061,1,None/Apparently Normal
240062,1,"Under the Influence of Alcohol, Drugs or Medication"
240062,2,None/Apparently Normal
240063,1,None/Apparently Normal
240063,2,None/Apparently Normal
240064,1,"Under the Influence of Alcohol, Drugs or Medication"
240064,2,"Under the Influence of Alcohol, Drugs or Medication"
240065,1,
240066,1,"Under the Influence of Alcohol, Drugs or Medication"
240067,1,None/Apparently Normal
240068,1,None/Apparently Normal
240068,2,None/Apparently Normal
240068,3,
240069,1,
240070,1,"Under the Influence of Alcohol, Drugs or Medication"
240070,2,None/Apparently Normal
240071,1,None/Apparently Normal
240072,1,None/Apparently Normal
240073,1,None/Apparently Normal
240074,1,
240074,2,None/Apparently Normal
240075,1,None/Apparently Normal
240076,1,
240077,1,None/Apparently Normal
240078,1,Physical Impairment - No Details
240078,2,None/Apparently Normal
240079,1,"Under the Influence of Alcohol, Drugs or Medication"
240079,2,
240079,3,None/Apparently Normal
240080,1,None/Apparently Normal
240080,2,None/Apparently Normal
240081,1,
240083,1,
240083,2,None/Apparently Normal
240084,1,
240085,1,Other Physical Impairment
240086,1,None/Apparently Normal
240087,1,Asleep or Fatigued
240088,1,None/Apparently Normal
240088,2,None/Apparently Normal
240089,1,
240090,1,
240091,1,None/Apparently Normal
240091,2,None/Apparently Normal
240092,1,"Under the Influence of Alcohol, Drugs or Medication"
240092,2,None/Apparently Normal
240094,1,"Under the Influence of Alcohol, Drugs or Medication"
